x_m,y_m,vx_mps
-0.000159,0.037923,2.0
-0.521799,-0.077997,2.0
-1.043439,-0.251877,2.0
-1.565079,-0.367797,2.0
-2.086719,-0.541677,2.0
-2.608359,-0.657597,2.0
-3.129999,-0.799863,2.0
-3.651639,-0.942128,2.0
-4.173279,-1.079125,2.0
-4.694919,-1.221390,2.0
-5.216559,-1.358386,2.0
-5.738199,-1.500652,2.0
-6.259839,-1.642917,2.0
-6.781479,-1.779914,2.0
-7.303119,-1.922179,2.0
-7.824759,-2.059175,2.0
-8.346399,-2.201441,2.0
-8.868039,-2.338437,2.0
-9.389679,-2.480703,2.0
-9.911319,-2.622968,2.0
-10.432959,-2.759965,2.0
-10.954599,-2.902230,2.0
-11.476239,-3.039226,2.0
-11.997879,-3.181492,2.0
-12.519519,-3.323757,2.0
-13.041159,-3.466023,2.0
-13.562799,-3.608288,2.0
-14.084439,-3.745285,2.0
-14.606079,-3.887550,2.0
-15.127719,-4.024546,2.0
-15.649359,-4.166812,2.0
-16.170999,-4.309077,2.0
-16.692639,-4.446074,2.0
-17.214279,-4.588339,2.0
-17.735919,-4.725335,2.0
-18.257559,-4.867601,2.0
-18.779199,-5.004597,2.0
-19.300839,-5.146863,2.0
-19.822479,-5.289128,2.0
-20.344119,-5.426125,2.0
-20.865759,-5.568390,2.0
-21.387399,-5.705386,2.0
-21.909039,-5.847652,2.0
-22.430679,-5.989917,2.0
-22.952319,-6.132183,2.0
-23.473959,-6.274448,2.0
-23.995599,-6.411445,2.0
-24.517239,-6.553710,2.0
-25.038879,-6.690706,2.0
-25.560519,-6.832972,2.0
-26.082159,-6.975237,2.0
-26.603799,-7.112234,2.0
-27.125439,-7.254499,2.0
-27.647079,-7.391495,2.0
-28.168719,-7.533761,2.0
-28.690359,-7.670757,2.0
-29.211999,-7.813023,2.0
-29.733639,-7.955288,2.0
-30.255279,-8.092285,2.0
-30.776919,-8.234550,2.0
-31.298559,-8.366277,2.0
-31.820199,-8.482197,2.0
-32.341839,-8.566503,2.0
-32.847672,-8.598117,2.0
-33.332428,-8.577041,2.0
-33.790839,-8.498005,2.0
-34.222905,-8.366277,2.0
-34.628625,-8.176590,2.0
-35.013268,-7.934212,2.0
-35.376836,-7.639143,2.0
-35.719326,-7.286114,2.0
-36.040741,-6.885663,2.0
-36.346348,-6.448328,2.0
-36.636148,-5.989917,2.0
-36.925948,-5.526237,2.0
-37.221017,-5.062557,2.0
-37.526625,-4.598877,2.0
-37.837501,-4.135197,2.0
-38.158916,-3.671517,2.0
-38.485599,-3.207837,2.0
-38.812283,-2.744157,2.0
-39.144236,-2.280477,2.0
-39.481457,-1.816797,2.0
-39.813410,-1.353117,2.0
-40.145363,-0.889437,2.0
-40.477316,-0.425757,2.0
-40.803999,0.037923,2.0
-41.130683,0.501603,2.0
-41.462636,0.965283,2.0
-41.789319,1.428963,2.0
-42.116003,1.892643,2.0
-42.447956,2.356323,2.0
-42.779908,2.820003,2.0
-43.106592,3.283683,2.0
-43.438545,3.747363,2.0
-43.770497,4.211043,2.0
-44.097181,4.674723,2.0
-44.429134,5.138403,2.0
-44.761086,5.602083,2.0
-45.093039,6.065763,2.0
-45.424992,6.529443,2.0
-45.756945,6.993123,2.0
-46.083628,7.456803,2.0
-46.410312,7.920483,2.0
-46.736996,8.384163,2.0
-47.053141,8.847843,2.0
-47.364017,9.311523,2.0
-47.669625,9.775203,2.0
-47.969963,10.238883,2.0
-48.259763,10.702563,2.0
-48.544294,11.166243,2.0
-48.823556,11.629923,2.0
-49.092279,12.093603,2.0
-49.355734,12.557283,2.0
-49.613919,13.020963,2.0
-49.866836,13.484643,2.0
-50.119752,13.948323,2.0
-50.367399,14.412003,2.0
-50.615046,14.875683,2.0
-50.857425,15.339363,2.0
-51.099803,15.803043,2.0
-51.336912,16.266723,2.0
-51.574021,16.730403,2.0
-51.811130,17.194083,2.0
-52.048239,17.657763,2.0
-52.280079,18.121443,2.0
-52.511919,18.585123,2.0
-52.743759,19.054072,2.0
-52.975599,19.523021,2.0
-53.207439,19.997239,2.0
-53.439279,20.476726,2.0
-53.671119,20.956214,2.0
-53.902959,21.440970,2.0
-54.134799,21.930995,2.0
-54.366639,22.421021,2.0
-54.598479,22.916315,2.0
-54.830319,23.416879,2.0
-55.062159,23.922712,2.0
-55.293999,24.423275,2.0
-55.525839,24.929108,2.0
-55.757679,25.434941,2.0
-55.989519,25.935505,2.0
-56.221359,26.441337,2.0
-56.453199,26.947170,2.0
-56.685039,27.453003,2.0
-56.916879,27.964105,2.0
-57.148719,28.469937,2.0
-57.380559,28.970501,2.0
-57.612399,29.471065,2.0
-57.844239,29.971628,2.0
-58.076079,30.466923,2.0
-58.313188,30.956948,2.0
-58.560836,31.446974,2.0
-58.813752,31.931730,2.0
-59.077206,32.411217,2.0
-59.345930,32.885435,2.0
-59.625192,33.354385,2.0
-59.909723,33.823334,2.0
-60.199523,34.292283,2.0
-60.499861,34.755963,2.0
-60.810737,35.219643,2.0
-61.132152,35.678054,2.0
-61.458836,36.131195,2.0
-61.785519,36.579068,2.0
-62.117472,37.021672,2.0
-62.454694,37.459006,2.0
-62.802454,37.891072,2.0
-63.155483,38.317868,2.0
-63.513781,38.739395,2.0
-63.882617,39.155654,2.0
-64.256723,39.566643,2.0
-64.636097,39.972363,2.0
-65.020741,40.378083,2.0
-65.405385,40.783803,2.0
-65.795297,41.189523,2.0
-66.190479,41.595243,2.0
-66.585661,42.000963,2.0
-66.980843,42.406683,2.0
-67.370756,42.812403,2.0
-67.765937,43.218123,2.0
-68.161119,43.623843,2.0
-68.556301,44.029563,2.0
-68.951483,44.435283,2.0
-69.346665,44.841003,2.0
-69.747116,45.246723,2.0
-70.147566,45.652443,2.0
-70.548017,46.058163,2.0
-70.948468,46.463883,2.0
-71.348919,46.869603,2.0
-71.754639,47.275323,2.0
-72.160359,47.681043,2.0
-72.566079,48.086763,2.0
-72.971799,48.492483,2.0
-73.372250,48.898203,2.0
-73.767432,49.303923,2.0
-74.141537,49.720181,2.0
-74.484028,50.146977,2.0
-74.773828,50.584312,2.0
-74.984592,51.011108,2.0
-75.111050,51.406290,2.0
-75.153203,51.769857,2.0
-75.111050,52.101810,2.0
-74.984592,52.402148,2.0
-74.773828,52.670872,2.0
-74.484028,52.913250,2.0
-74.115192,53.124014,2.0
-73.683126,53.292625,2.0
-73.198370,53.419083,2.0
-72.681999,53.498119,2.0
-72.160359,53.556079,2.0
-71.638719,53.608770,2.0
-71.117079,53.656192,2.0
-70.595439,53.698345,2.0
-70.073799,53.740497,2.0
-69.552159,53.777381,2.0
-69.030519,53.803726,2.0
-68.508879,53.819534,2.0
-67.987239,53.830072,2.0
-67.465599,53.835341,2.0
-66.943959,53.840610,2.0
-66.422319,53.840610,2.0
-65.900679,53.840610,2.0
-65.379039,53.840610,2.0
-64.857399,53.840610,2.0
-64.335759,53.835341,2.0
-63.814119,53.830072,2.0
-63.292479,53.819534,2.0
-62.770839,53.814265,2.0
-62.249199,53.803726,2.0
-61.727559,53.787919,2.0
-61.205919,53.766843,2.0
-60.684279,53.740497,2.0
-60.162639,53.708883,2.0
-59.640999,53.671999,2.0
-59.119359,53.629846,2.0
-58.597719,53.582425,2.0
-58.076079,53.524465,2.0
-57.554439,53.461235,2.0
-57.032799,53.392737,2.0
-56.511159,53.318970,2.0
-55.989519,53.239934,2.0
-55.467879,53.155628,2.0
-54.946239,53.071323,2.0
-54.424599,52.981748,2.0
-53.902959,52.886905,2.0
-53.381319,52.786792,2.0
-52.859679,52.681410,2.0
-52.338039,52.581297,2.0
-51.816399,52.481185,2.0
-51.294759,52.375803,2.0
-50.773119,52.270421,2.0
-50.251479,52.165039,2.0
-49.729839,52.064926,2.0
-49.208199,51.959545,2.0
-48.686559,51.854163,2.0
-48.164919,51.748781,2.0
-47.643279,51.648668,2.0
-47.121639,51.548555,2.0
